Date,Open,High,Low,Close,Adj Close,Volume
2024-05-19,580.481567,581.876709,572.369629,574.631653,574.631653,1298887094
2024-05-20,574.631653,601.563843,569.523560,600.616333,600.616333,2145457267
2024-05-21,600.601074,629.861084,593.932739,618.420471,618.420471,3564986916
2024-05-22,618.420471,625.566284,610.546021,614.671875,614.671875,2138536549
2024-05-23,614.671875,616.524475,581.954102,598.670837,598.670837,2631566566
2024-05-24,598.670837,604.314880,588.893982,600.225891,600.225891,1778282198
2024-05-25,600.226624,606.367310,599.607239,602.194458,602.194458,1392399167
2024-05-26,602.194458,604.830078,598.695862,599.825928,599.825928,1372657185
2024-05-27,599.825928,613.388184,599.700745,603.526428,603.526428,1691663828
2024-05-28,603.526428,604.985107,593.716187,601.213257,601.213257,1852329404
2024-05-29,601.213257,602.931519,592.966614,594.972046,594.972046,1642696946
2024-05-30,594.972534,601.665039,586.557678,595.026794,595.026794,1737524745
2024-05-31,595.026794,598.423645,589.774841,593.522339,593.522339,1590349553
2024-06-01,593.522339,607.582886,592.680603,601.304199,601.304199,1520074486
2024-06-02,601.304138,604.978088,596.164795,603.026611,603.026611,1667233984
2024-06-03,603.050964,637.247131,601.183167,626.432983,626.432983,2952110605
2024-06-04,626.432983,687.403809,625.264954,686.201416,686.201416,3416994948
2024-06-05,686.201416,712.588379,685.777100,698.889404,698.889404,3501231414
2024-06-06,698.889404,720.672607,692.994751,710.464050,710.464050,2997888288
2024-06-07,710.460388,710.838501,665.180176,683.360962,683.360962,2987033806
2024-06-08,683.368591,694.312805,678.645813,682.665161,682.665161,1966216051
2024-06-09,682.663879,684.759888,670.813538,673.315308,673.315308,1856183346
2024-06-10,673.335449,674.313477,615.772949,624.386841,624.386841,3184376694
2024-06-11,624.396790,628.263367,597.041870,602.558105,602.558105,2604834485
2024-06-12,602.602600,634.675842,592.293274,619.194824,619.194824,2221546160
2024-06-13,619.225159,619.298584,596.308777,599.515076,599.515076,1879189691
2024-06-14,599.478699,611.628723,590.496338,603.180542,603.180542,1848914113
2024-06-15,603.114197,609.050476,601.585938,607.802917,607.802917,1471028668
2024-06-16,607.808472,611.197510,601.476929,610.054016,610.054016,1428836675
2024-06-17,610.073669,611.944031,592.426147,604.467346,604.467346,1797626078
2024-06-18,604.332886,604.652832,575.761719,588.702087,588.702087,2265505402
2024-06-19,588.584717,605.731689,587.014160,598.771729,598.771729,1788904109
2024-06-20,598.771729,607.400757,584.759949,587.107178,587.107178,1817442036
2024-06-21,587.112610,588.705444,578.015869,585.911926,585.911926,1672110625
2024-06-22,585.900940,590.939331,581.137634,590.763367,590.763367,1387634576
2024-06-23,590.671570,592.772644,576.058167,577.210876,577.210876,1444372224
2024-06-24,577.222900,581.236755,552.936523,567.578125,567.578125,2033721646
2024-06-25,567.653076,579.100769,566.899109,578.103455,578.103455,1581413208
2024-06-26,578.113708,584.198853,567.878845,572.401794,572.401794,1537826836
2024-06-27,572.358521,583.731506,566.429749,580.798279,580.798279,1659378248
2024-06-28,580.865967,584.349976,565.005371,566.464478,566.464478,1618598501
2024-06-29,566.491638,572.942566,566.065918,569.127686,569.127686,1375085097
2024-06-30,569.167847,584.078674,567.785034,581.771118,581.771118,1564676508
