Date,Price,Open,High,Low,Vol.,Change %
11/14/2023,"1,979.10","2,054.15","2,064.51","1,943.01",521.22K,-3.66%
11/13/2023,"2,054.18","2,044.61","2,115.24","2,031.01",578.44K,0.47%
11/12/2023,"2,044.61","2,053.40","2,065.35","2,020.76",354.64K,-0.43%
11/11/2023,"2,053.42","2,077.72","2,089.24","2,033.56",405.96K,-1.17%
11/10/2023,"2,077.78","2,120.16","2,135.91","2,068.79",640.31K,-2.00%
11/09/2023,"2,120.16","1,888.42","2,131.31","1,882.91",1.21M,12.22%
11/08/2023,"1,889.29","1,885.95","1,903.67","1,873.47",265.08K,0.18%
11/07/2023,"1,885.97","1,900.98","1,906.55","1,852.05",370.10K,-0.79%
11/06/2023,"1,900.98","1,891.81","1,913.13","1,870.00",359.00K,0.46%
11/05/2023,"1,892.36","1,855.72","1,911.00","1,846.57",418.91K,1.97%
11/04/2023,"1,855.72","1,832.31","1,868.52","1,824.40",190.18K,1.28%
11/03/2023,"1,832.29","1,800.28","1,834.16","1,779.79",337.00K,1.78%
